HospitalName,AvgOutOfPocketCost,Latitude,Longitude
PALM BAY HOSPITAL,1238.123867,27.9983893,-80.6127116
FLORIDA HOSPITAL WESLEY CHAPEL,2302.538876,28.1953573,-82.3518214
POINCIANA MEDICAL CENTER,1158.62448,28.1442377,-81.47619
ST VINCENTS MEDICAL CENTER - CLAY COUNTY,1094.291534,30.1089312,-81.8323503
OVIEDO MEDICAL CENTER,1440.557109,28.657883,-81.2280533
HAMILTON MEDICAL CENTER,1772.679327,34.7898846,-84.984842
UPSON REGIONAL MEDICAL CENTER,1333.194698,32.8862947,-84.3361834
MEMORIAL SATILLA HEALTH,1351.300817,31.2249049,-82.3477321
NORTHSIDE HOSPITAL FORSYTH,1664.223826,34.1787035,-84.1390887
ST MARY'S HOSPITAL,1669.895107,33.947691,-83.405571
PHOEBE PUTNEY MEMORIAL HOSPITAL,1647.000688,31.5909075,-84.1583522
NORTHSIDE HOSPITAL CHEROKEE,1727.784615,34.2288419,-84.464307
EMORY UNIVERSITY HOSPITAL,7222.031954,33.7918827,-84.3221967
TANNER MEDICAL CENTER - CARROLLTON,1417.938865,33.5696655,-85.0744813
TANNER MEDICAL CENTER VILLA RICA,1300.105462,33.7444253,-84.9167712
WELLSTAR WEST GEORGIA MEDICAL CENTER,1474.447654,33.032552,-85.0586022
PIEDMONT NEWTON HOSPITAL,1190.168301,33.6016619,-83.8474672
GORDON HOSPITAL,1104.639897,34.5102054,-84.9263043
CANDLER HOSPITAL,1352.460606,32.0278294,-81.1001261
SOUTHEAST GEORGIA HEALTH SYSTEM- BRUNSWICK CAMPUS,1400.654453,31.1754151,-81.4844859
ELBERT MEMORIAL HOSPITAL,1114.667909,34.112518,-82.8747519
"ST MARY'S SACRED HEART HOSPITAL, INC",997.6707727,34.4407201,-83.1309283
UNIVERSITY HOSPITAL,1374.940496,33.4711803,-81.9830535
"NORTHEAST GEORGIA MEDICAL CENTER, INC",1541.775938,34.3019833,-83.8209685
CARTERSVILLE MEDICAL CENTER,1929.545968,34.1995441,-84.7932932
WELLSTAR SPALDING REGIONAL HOSPITAL,1205.14018,33.239263,-84.2673426
STEPHENS COUNTY HOSPITAL,1087.279533,34.5937302,-83.3489281
AU MEDICAL CENTER,3537.398822,33.4706236,-81.9899149
WELLSTAR KENNESTONE HOSPITAL,1947.843379,33.9698219,-84.5516184
"MEMORIAL HEALTH UNIV MED CEN, INC",2000.574048,32.0311034,-81.0891667
JOHN D ARCHBOLD MEMORIAL HOSPITAL,1540.712635,30.8251841,-83.9720565
TRINITY HOSPITAL OF AUGUSTA,1513.497859,33.465676,-82.018268
NORTHRIDGE MEDICAL CENTER,1051.866522,34.2188798,-83.4688559
HABERSHAM COUNTY MEDICAL CTR,1065.062396,34.5810438,-83.5370886
WELLSTAR PAULDING HOSPITAL,1449.010796,33.9007155,-84.7815101
ST JOSEPH'S HOSPITAL - SAVANNAH,1599.517161,31.98515,-81.154752
PHOEBE SUMTER MEDICAL CENTER,993.8729545,32.0664107,-84.2556198
NORTHEAST GEORGIA MEDICAL CENTER BARROW,1209.289918,34.0078621,-83.7083631
CLEARVIEW  REGIONAL MEDICAL CENTER,1259.962967,33.7989051,-83.7502902
MURRAY MEDICAL CENTER,1137.32507,34.7799558,-84.7830378
UNION GENERAL HOSPITAL,1066.78298,34.8858798,-83.9623541
FLOYD MEDICAL CENTER,2056.148037,34.2592219,-85.1784639
MIDTOWN MEDICAL CENTER,1952.423589,32.4811242,-84.981238
HOUSTON MEDICAL CENTER,1381.314851,32.6166551,-83.6303536
APPLING HOSPITAL,1123.170208,31.76996,-82.3501424
DORMINY MEDICAL CENTER,1135.901771,31.6974416,-83.2600512
PIEDMONT ATHENS REGIONAL MEDICAL CENTER,1089.491058,33.9613926,-83.3979673
EAST GEORGIA REGIONAL MEDICAL CENTER,1234.278798,32.414409,-81.770256
DEKALB MEDICAL CENTER,1279.218525,33.7905043,-84.2818382
EMORY UNIVERSITY HOSPITAL MIDTOWN,2460.738102,33.7687646,-84.3864832
GRADY MEMORIAL HOSPITAL,2160.580726,33.7517652,-84.3819669
"SAINT JOSEPH'S HOSPITAL OF ATLANTA, INC",1826.633836,33.9091214,-84.3493063
PIEDMONT HOSPITAL,4129.832108,33.8090384,-84.3963711
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,1027.032969,32.9957801,-82.8042517
GWINNETT MEDICAL CENTER,1608.553831,33.9634925,-84.0177214
COFFEE REGIONAL MEDICAL CENTER,1088.265967,31.5096167,-82.8634495
PIEDMONT ROCKDALE HOSPITAL,1364.326514,33.6809707,-84.0013731
DODGE COUNTY HOSPITAL,1067.940397,32.1853931,-83.1779633
TIFT REGIONAL MEDICAL CENTER,1013.869096,31.4714885,-83.4915241
JEFFERSON HOSPITAL,1081.769233,33.0104736,-82.4055638
CRISP REGIONAL HOSPITAL,1017.120482,31.9775657,-83.7812905
COLQUITT REGIONAL MEDICAL CENTER,1085.28857,31.1266365,-83.7803202
"MEDICAL CENTER, NAVICENT HEALTH (THE)",1893.825487,32.8331777,-83.6360899
EMANUEL MEDICAL CENTER,1012.030377,32.592759,-82.3471716
UNIVERSITY HOSPITAL MCDUFFIE,1326.924243,33.5230165,-82.5017543
BURKE MEDICAL CENTER,1399.047619,33.083482,-82.0126278
WELLSTAR ATLANTA MEDICAL CENTER,2569.712406,33.7629065,-84.3729609
GRADY GENERAL HOSPITAL,1028.557489,30.8638442,-84.1991038
SOUTH GEORGIA MEDICAL CENTER,1673.145516,30.8620191,-83.2862377
WAYNE MEMORIAL HOSPITAL,968.8535464,31.601142,-81.8998859
FAIRVIEW PARK HOSPITAL,1718.079186,32.5402485,-82.957456
MEADOWS REGIONAL MEDICAL CENTER,1061.794348,32.2071314,-82.377752
ST FRANCIS HOSPITAL,1390.950173,32.5057238,-84.9601451
MEMORIAL HOSPITAL AND MANOR,1185.416113,30.9029469,-84.5522362
TAYLOR REGIONAL HOSPITAL,1093.731262,32.2962295,-83.4842746
EVANS MEMORIAL HOSPITAL,886.0081162,32.1661913,-81.8987728
WELLSTAR COBB HOSPITAL,1566.595559,33.8571069,-84.6040933
SOUTHEAST GEORGIA HEALTH SYSTEM- CAMDEN CAMPUS,1339.657103,30.7809165,-81.6151466
NAVICENT HEALTH BALDWIN,1038.151404,33.0896828,-83.2453926
PERRY HOSPITAL,1216.751062,32.4593871,-83.7102617
NORTHSIDE HOSPITAL,2870.963498,33.9093745,-84.3546157
COLISEUM MEDICAL CENTERS,1953.134399,32.8473009,-83.618713
SOUTHERN REGIONAL MEDICAL CENTER,1284.966727,33.5793831,-84.3896726
REDMOND REGIONAL MEDICAL CENTER,1930.674852,34.2770143,-85.1958281
DOCTORS HOSPITAL,2413.041584,33.4864185,-82.0945335
WELLSTAR DOUGLAS HOSPITAL,1418.933977,33.7390326,-84.7314746
CHESTATEE REGIONAL HOSPITAL,1041.581267,34.5227864,-83.975625
FANNIN REGIONAL HOSPITAL,1119.362662,34.9177348,-84.3743296
PIEDMONT HENRY HOSPITAL,1702.446209,33.510351,-84.2271743
EASTSIDE MEDICAL CENTER,1446.273606,33.877504,-84.0219773
DONALSONVILLE HOSPITAL INC,971.5149319,31.0509415,-84.8816162
WELLSTAR NORTH FULTON HOSPITAL,1517.325445,34.0630617,-84.319854
NORTHSIDE MEDICAL CENTER,5328.386767,32.5346057,-84.9510019
COLISEUM NORTHSIDE HOSPITAL,1523.649763,32.8715199,-83.6945317
TURNING POINT HOSPITAL,583.1979913,31.1303008,-83.7725925
PIEDMONT FAYETTE HOSPITAL,1704.008295,33.4526088,-84.5084838
PIEDMONT MOUNTAINSIDE HOSPITAL INC,1244.859061,34.445618,-84.4481517
DEKALB MEDICAL CENTER AT HILLANDALE,1170.632902,33.7058319,-84.1480393
"PIEDMONT NEWNAN HOSPITAL, INC",1320.069708,33.3573129,-84.7552253
EMORY JOHNS CREEK HOSPITAL,1855.200862,34.0667005,-84.1764319
SOUTHEASTERN REGIONAL MEDICAL CENTER,2120.270053,33.3848428,-84.7578331
CHI MEMORIAL HOSPITAL -  GEORGIA,1012.925927,34.9469261,-85.2640009
THE QUEENS MEDICAL CENTER,6959.079211,21.3084698,-157.8538581
MAUI MEMORIAL MEDICAL CENTER,2482.15599,20.884881,-156.4894616
WAHIAWA GENERAL HOSPITAL,2031.065535,21.4990365,-158.0262249
HILO MEDICAL CENTER,1913.437962,19.7182454,-155.1127462
ADVENTIST HEALTH CASTLE,1965.011168,21.3808543,-157.7577795
KUAKINI MEDICAL CENTER,2894.898897,21.3221545,-157.8567384
KAISER FOUNDATION HOSPITAL,5838.494857,21.3632544,-157.9000128
WILCOX MEMORIAL HOSPITAL,2215.87616,21.9854096,-159.3644875
KONA COMMUNITY HOSPITAL,1545.434643,19.5200891,-155.9174725
STRAUB CLINIC AND HOSPITAL,3189.325379,21.3025814,-157.8501322
PALI MOMI MEDICAL CENTER,2728.305493,21.3835987,-157.9382973
NORTH HAWAII COMMUNITY HOSPITAL,2727.672983,20.0232419,-155.6653736
ST LUKE'S MAGIC VALLEY RMC,1519.040494,42.590512,-114.4960989
ST JOSEPH REGIONAL MEDICAL CENTER,1371.33486,46.4166818,-117.0244103
ST LUKE'S REGIONAL MEDICAL CENTER,1765.497308,43.6127523,-116.1923716
SAINT ALPHONSUS REGIONAL MEDICAL CENTER,2173.179492,43.6132915,-116.2558421
SAINT ALPHONSUS MEDICAL CENTER - NAMPA,1975.204281,43.5974489,-116.517392
WEST VALLEY MEDICAL CENTER,2146.503171,43.654508,-116.6941182
EASTERN IDAHO REGIONAL MEDICAL CENTER,2714.344516,43.4701735,-111.9914279
MADISON MEMORIAL HOSPITAL,1253.030953,43.8259196,-111.7709414
PORTNEUF MEDICAL CENTER,1548.342618,42.8739657,-112.4211813
KOOTENAI HEALTH,1856.437113,47.6955728,-116.793206
TREASURE VALLEY HOSPITAL,3229.35172,43.6124214,-116.2910311
MOUNTAIN VIEW HOSPITAL,2703.069428,43.4743705,-111.987557
NORTHWEST SPECIALTY HOSPITAL,2085.42808,47.7153655,-116.9242297
GRAHAM HOSPITAL ASSOCIATION,1786.077756,40.5529164,-90.0389246
ALTON MEMORIAL HOSPITAL,1130.60607,38.8995477,-90.1591567
PRESENCE SAINT JOSEPH MEDICAL CENTER,1617.541613,41.5279269,-88.1360016
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,1611.988467,41.910205,-87.8418095
EVANSTON HOSPITAL,2063.876136,42.0655769,-87.6848701
HERRIN HOSPITAL,1115.058592,37.8012766,-89.0261475
KATHERINE SHAW BETHEA HOSPITAL,1367.913693,41.8445416,-89.4793127
PROCTOR HOSPITAL,1328.581716,40.7525675,-89.5939084
BLESSING HOSPITAL,2254.580572,39.9356331,-91.3983503
MT SINAI HOSPITAL MEDICAL CENTER,2134.713871,41.8620733,-87.6929549
HSHS GOOD SHEPHERD HOSPITAL INC,799.8217943,39.4057615,-88.8078392
COPLEY MEMORIAL HOSPITAL,3400.958426,41.7286117,-88.2708374
SHERMAN HOSPITAL,2160.306034,42.0713523,-88.3308103
ST ANTHONYS MEMORIAL HOSPITAL,1233.689984,39.1257145,-88.5503386
SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,1074.321726,38.5300938,-89.1172755
GALESBURG COTTAGE HOSPITAL,955.8809703,40.9556647,-90.3657881
CGH MEDICAL CENTER,1080.758763,41.8027361,-89.6969748
GOOD SAMARITAN REGIONAL HLTH CENTER,1166.88763,38.2972034,-88.9387805
ADVOCATE TRINITY HOSPITAL,1666.366309,41.7265222,-87.5679334
WEST SUBURBAN MEDICAL CENTER,2034.650163,41.8913716,-87.7761143
OSF SAINT ANTHONY'S HEALTH CENTER,1053.966789,38.9073839,-90.1718152
ST JOHNS HOSPITAL,2052.375356,39.8046865,-89.6459353
MACNEAL  HOSPITAL,2250.522094,41.8321425,-87.7917155
PASSAVANT AREA HOSPITAL,1785.245703,39.7500944,-90.2637599
JERSEY COMMUNITY HOSPITAL,882.3258355,39.110403,-90.343118
PALOS COMMUNITY HOSPITAL,1603.42332,41.6690972,-87.8121386
RUSH OAK PARK HOSPITAL,2060.227282,41.878649,-87.8031698
ST MARY MEDICAL CENTER,1028.700479,40.9874112,-90.3593847
ADVENTIST LA GRANGE MEMORIAL HOSPITAL,2344.587433,41.7967451,-87.8863882
SAINT FRANCIS MEDICAL CENTER,2202.617164,40.7019828,-89.5905744
ROSELAND COMMUNITY HOSPITAL,880.1900386,41.6922672,-87.6261192
TOUCHETTE REGIONAL HOSPITAL INC,863.8997133,38.5705908,-90.1077569
PRESENCE SAINT FRANCIS HOSPITAL,2446.310966,42.0246449,-87.6839608
LOUIS A WEISS MEMORIAL HOSPITAL,1933.15946,41.966637,-87.649025
LORETTO HOSPITAL,734.8603592,41.8721272,-87.7636486
VISTA MEDICAL CENTER EAST,1118.072675,42.3781918,-87.8325227
THE UNIVERSITY OF CHICAGO MEDICAL CENTER,5064.325994,41.7883128,-87.6045656
MC DONOUGH DISTRICT HOSPITAL,915.7826331,40.4479137,-90.6657847
THE CARLE FOUNDATION HOSPITAL,1953.038731,40.1178765,-88.2138667
PRESENCE UNITED SAMARITANS MEDICAL CENTER,1270.879807,40.1378951,-87.6453182
SAINT ANTHONY HOSPITAL,1098.960026,41.8551341,-87.698365
MIDWESTERN REGION MED CENTER,301.46154,42.4488878,-87.8275365
MORRIS HOSPITAL & HEALTHCARE CENTERS,1779.265426,41.3699958,-88.4266323
ST BERNARD HOSPITAL,940.7095277,41.7785632,-87.6336764
OTTAWA REGIONAL HOSPITAL & HEALTHCARE CENTER,1093.765017,41.3534959,-88.8177427
PRESENCE COVENANT MEDICAL CENTER,2040.738732,40.1179701,-88.2276504
SWEDISH COVENANT HOSPITAL,2299.682297,41.9749565,-87.6986393
THOREK MEMORIAL HOSPITAL,832.8345744,41.9546343,-87.6520659
CENTEGRA HEALTH SYSTEM - MC HENRY HOSPITAL,1599.413305,42.3171347,-88.2788518
PRESENCE RESURRECTION MEDICAL CENTER,2263.474732,41.9876791,-87.8142891
METROSOUTH MEDICAL CENTER,1201.93516,41.6586704,-87.6770674
RUSH UNIVERSITY MEDICAL CENTER,6891.989078,41.8747095,-87.668452
PEKIN MEMORIAL HOSPITAL,1038.466355,40.5629866,-89.6328151
ADVENTIST HINSDALE HOSPITAL,1679.021184,41.8056094,-87.9206935
JOHN H STROGER JR HOSPITAL,1799.121824,41.8736169,-87.6743711
GATEWAY REGIONAL MEDICAL CENTER,1173.64629,38.7013638,-90.1438176
ADVOCATE BROMENN MEDICAL CENTER,2045.353904,40.4971689,-88.991037
NORTHWESTERN LAKE FOREST HOSPITAL,2983.791785,42.2564901,-87.8656264
HOLY CROSS HOSPITAL,1079.252215,41.7690386,-87.6927027
DECATUR MEMORIAL HOSPITAL,1366.316984,39.8668512,-88.9618217
GREENVILLE REGIONAL HOSPITAL,984.1936757,38.902316,-89.4107711
ST MARGARETS HOSPITAL,942.9713045,41.3289046,-89.1923077
ST JOSEPHS HOSPITAL,1000.914245,38.626291,-89.5239582
RICHLAND MEMORIAL HOSPITAL,952.7590632,38.736377,-88.07749
MEMORIAL MEDICAL CENTER,2544.76344,39.8099694,-89.6567571
UNIVERSITY OF ILLINOIS HOSPITAL,5747.510577,41.8693103,-87.6705173
PRESENCE ST MARYS HOSPITAL,2062.962825,41.1203944,-87.8720068
MERCY HOSPITAL AND MEDICAL CENTER,2094.891922,41.8467816,-87.6213364
FHN MEMORIAL HOSPITAL,1016.201384,42.2949828,-89.6385509
SAINT JAMES HOSPITAL,1068.922428,40.8708015,-88.6794359
ST JOSEPH MEDICAL CENTER,2003.304855,40.4800778,-88.9570975
MEMORIAL HOSPITAL OF CARBONDALE,1598.917019,37.7277551,-89.2202884
ST MARYS HOSPITAL,1490.686241,39.8277128,-88.9317044
IROQUOIS MEMORIAL HOSPITAL,2004.399315,40.7659981,-87.7315751
FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,2172.905855,41.5232407,-87.710796
PRESENCE MERCY MEDICAL CENTER,2064.952086,41.7859518,-88.3256347
CENTEGRA HEALTH SYSTEM - WOODSTOCK HOSPITAL,1276.980625,42.2755106,-88.4008463
JACKSON PARK HOSPITAL,1214.373747,41.757506,-87.5849183
LITTLE COMPANY OF MARY HOSPITAL,1466.458939,41.72089,-87.6923708
PRESENCE SAINTS MARY AND ELIZABETH MEDICAL CENTER,1755.80856,41.9020876,-87.6829261
SOUTH SHORE HOSPITAL,902.5791432,41.7494001,-87.5690144
ADVOCATE ILLINOIS MASONIC MEDICAL CENTER,4211.191669,41.9367723,-87.6511754
HEARTLAND REGIONAL MEDICAL CENTER,1232.973844,37.742889,-88.99147
MEMORIAL HOSPITAL,1338.001812,38.5495961,-90.0216078
RIVERSIDE MEDICAL CENTER,1487.547984,41.1240078,-87.8830805
HSHS ST ELIZABETH'S HOSPITAL,1712.813182,38.5835576,-89.932223
SARAH BUSH LINCOLN HEALTH CENTER,1227.804755,39.4884202,-88.2735291
INGALLS MEMORIAL HOSPITAL,1588.952837,41.6074544,-87.6596663
METHODIST HOSPITAL OF CHICAGO,791.8020416,41.9732593,-87.6708755
ELMHURST MEMORIAL HOSPITAL,3596.734265,41.8640197,-87.9358675
ADVOCATE CONDELL MEDICAL CENTER,2769.536812,42.2746585,-87.9519053
NORWEGIAN-AMERICAN HOSPITAL,925.6787163,41.9006786,-87.6996714
ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4181.278109,41.721808,-87.7326182
METHODIST MEDICAL CENTER OF ILLINOIS,2312.334564,40.6993049,-89.5951391
HARRISBURG MEDICAL CENTER,878.6833425,37.7310271,-88.52486
DELNOR COMMUNITY HOSPITAL,1565.507337,41.8862845,-88.3435451
SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,1978.334336,41.5444716,-87.9828584
PRESENCE SAINT JOSEPH HOSPITAL - ELGIN,2011.513944,42.0353454,-88.3258582
ADVOCATE LUTHERAN GENERAL HOSPITAL,3623.152621,42.0384783,-87.847611
PRESENCE SAINT JOSEPH HOSPITAL - CHICAGO,2563.063323,41.9340924,-87.6373774
SWEDISH AMERICAN HOSPITAL,2916.890702,42.265978,-89.0738954
EDWARD HOSPITAL,4693.310752,41.7606589,-88.1534222
SAINT ANTHONY MEDICAL CENTER,2048.485684,42.2695614,-89.007775
ILLINOIS VALLEY COMMUNITY HOSPITAL,1003.370186,41.328884,-89.1239211
ROCKFORD MEMORIAL HOSPITAL,1474.225903,42.2983388,-89.0994064
WESTLAKE COMMUNITY HOSPITAL,1175.738931,41.8916606,-87.8483801
CENTRAL DUPAGE HOSPITAL,2639.928133,41.873562,-88.1556693
ADVOCATE SOUTH SUBURBAN HOSPITAL,1912.716944,41.5663505,-87.6972963
COMMUNITY FIRST MEDICAL CENTER,1579.268543,41.9455304,-87.7676772
NORTHWEST COMMUNITY HOSPITAL 1,1826.757562,42.0681926,-87.9924834
ALEXIAN BROTHERS MEDICAL CENTER 1,1566.29824,42.0050035,-88.0159974
GENESIS HEALTH SYSTEM,1100.99239,41.4943265,-90.4185105
LOYOLA UNIVERSITY MEDICAL CENTER,5897.873481,41.8600176,-87.8333511
TRINITY ROCK ISLAND,1743.945115,41.4826277,-90.5706604
NORTHWESTERN MEMORIAL HOSPITAL,6648.563662,41.8946256,-87.6209858
KISHWAUKEE COMMUNITY HOSPITAL,1369.944096,41.9614079,-88.7223853
ADVOCATE GOOD SAMARITAN HOSPITAL,2665.333656,41.8183565,-88.0083625
ANDERSON HOSPITAL,1200.310106,38.7381839,-89.9472807
ST ALEXIUS MEDICAL CENTER,1349.735738,42.0529739,-88.1410337
ADVOCATE GOOD SHEPHERD HOSPITAL,1942.764659,42.1956043,-88.1732048
ADVENTIST GLENOAKS,1242.41295,41.9152811,-88.0570138
CROSSROADS COMMUNITY HOSPITAL,1818.433842,38.3120222,-88.9369718
PROVIDENT HOSPITAL OF CHICAGO,1490.923077,41.8026933,-87.6134653
ADVENTIST BOLINGBROOK HOSPITAL,1253.062498,41.6807968,-88.0847329
METRO-EAST SERVICES INC,1326.514093,38.5737165,-89.9053511
JOHNSON MEMORIAL HOSPITAL,992.4676293,39.4795429,-86.0768772
METHODIST HOSPITALS INC,1279.566349,41.5994155,-87.3577499
FRANCISCAN HEALTH HAMMOND,1133.378589,41.6151781,-87.5238812
HENDRICKS REGIONAL HEALTH,1344.214107,39.762559,-86.5015563
LA PORTE HOSPITAL,1156.185961,41.6106426,-86.7251334
COMMUNITY HOWARD REGIONAL HEALTH INC,1053.778516,40.446646,-86.126973
ST CATHERINE HOSPITAL INC,1059.273514,41.6348372,-87.4475437
CLARK MEMORIAL HOSPITAL,1077.29609,38.2824788,-85.7492301
ST VINCENT KOKOMO,1164.969748,40.4863584,-86.1568939
MARION GENERAL HOSPITAL,1564.435257,40.5645967,-85.665461
SAINT JOSEPH REGIONAL MEDICAL CENTER,1953.347101,41.7068857,-86.1744511
FRANCISCAN HEALTH MICHIGAN CITY,1687.728429,41.7063044,-86.9011441
LUTHERAN HOSPITAL OF INDIANA,2208.333197,41.0389032,-85.249408
ELKHART GENERAL HOSPITAL,2022.386761,41.6796028,-85.993207
PARKVIEW REGIONAL MEDICAL CENTER,2786.437768,41.1870233,-85.1007065
FRANCISCAN HEALTH CRAWFORDSVILLE,1169.447109,40.0664798,-86.9055873
UNION HOSPITAL INC,1262.004335,39.4856368,-87.4085107
ESKENAZI HEALTH,1575.126778,39.7779943,-86.1839819
GOSHEN GENERAL HOSPITAL,1529.26996,41.5636929,-85.8313499
HENRY COUNTY MEMORIAL HOSPITAL,1338.714927,39.9434296,-85.3631976
ST MARY MEDICAL CENTER INC,1261.270327,41.5125326,-87.2613278
PORTER REGIONAL HOSPITAL,1448.18554,41.5519314,-87.0501984
HANCOCK REGIONAL HOSPITAL,1332.970408,39.7950203,-85.7676028
GOOD SAMARITAN HOSPITAL,1152.646594,38.6727584,-87.5329401
BAPTIST HEALTH FLOYD,1261.588508,38.3012927,-85.8345754
DEKALB HEALTH,1403.346509,41.3689029,-85.0355821
TERRE HAUTE REGIONAL HOSPITAL,1298.922449,39.4195116,-87.4089787
ST JOSEPH HOSPITAL,1256.601789,41.0777931,-85.1492657
REID HEALTH,1313.472069,39.8643138,-84.8845864
INDIANA UNIVERSITY HEALTH BLOOMINGTON HOSPITAL,2206.373849,39.1600584,-86.5403823
INDIANA UNIVERSITY HEALTH,3734.202146,39.7903409,-86.1633559
FRANCISCAN HEALTH MOORESVILLE,1929.529704,39.6076612,-86.3556555
MEMORIAL HOSPITAL OF SOUTH BEND,1648.315618,41.6836909,-86.2519755
RIVERVIEW HEALTH,1219.11361,40.0457603,-86.0234447
DAVIESS COMMUNITY HOSPITAL,1129.176467,38.6596091,-87.1598346
FAYETTE REGIONAL HEALTH SYSTEM,1147.259618,39.6562706,-85.13254
SCHNECK MEDICAL CENTER,1294.036085,38.9522474,-85.9017455
KING'S DAUGHTERS' HEALTH,1145.810519,38.792688,-85.3638433
MEMORIAL HOSPITAL,1016.992165,40.763244,-86.361619
COMMUNITY HOSPITAL EAST,2000.049893,39.7868112,-86.0749049
BLUFFTON REGIONAL MEDICAL CENTER,1421.405877,40.7374106,-85.1711496
SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH,1465.522057,41.3334094,-86.3323421
DEACONESS HOSPITAL INC,1548.139981,37.9830836,-87.5712565
ST VINCENT HOSPITAL & HEALTH SERVICES,2240.683768,39.9090803,-86.1958346
HIGHPOINT HEALTH,1120.371605,39.111381,-84.8834278
ST VINCENT ANDERSON REGIONAL HOSPITAL INC,1166.302487,40.0955305,-85.6812084
INDIANA UNIVERSITY HEALTH BALL MEMORIAL HOSPITAL,2375.147148,40.1968976,-85.4146284
FRANCISCAN HEALTH DYER,1648.275351,41.4926517,-87.5245829
PARKVIEW HUNTINGTON HOSPITAL,1274.912532,40.9047842,-85.4879768
MAJOR HOSPITAL,1107.197015,39.5600099,-85.786245
ST VINCENT EVANSVILLE,1343.191619,37.9628438,-87.4958483
PARKVIEW WHITLEY HOSPITAL,1942.941668,41.158229,-85.4648969
STARKE HOSPITAL,1196.728141,41.2873712,-86.6218586
WITHAM HEALTH SERVICES,1210.818845,40.0770604,-86.4737225
FRANCISCAN HEALTH LAFAYETTE,1400.748367,40.3935311,-86.8349565
COLUMBUS REGIONAL HOSPITAL,1470.056633,39.2169006,-85.8954683
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,1379.114876,40.1305129,-85.6933403
MEMORIAL HOSPITAL AND HEALTH CARE CENTER,1317.636429,38.394992,-86.940895
COMMUNITY HOSPITAL,1475.31007,41.5506839,-87.5066672
FRANCISCAN HEALTH CROWN POINT,1271.41372,41.395763,-87.3675765
COMMUNITY HOSPITAL SOUTH,1968.108698,39.6365539,-86.132546
KOSCIUSKO COMMUNITY HOSPITAL,1741.509439,41.2482028,-85.8282869
PARKVIEW NOBLE HOSPITAL,1719.379557,41.4483537,-85.2960333
DUPONT HOSPITAL LLC,1585.478692,41.1752138,-85.1089426
ST VINCENT HEART CENTER OF INDIANA LLC,1967.205138,39.9393236,-86.1591945
ST VINCENT CARMEL HOSPITAL INC,1450.496075,39.9821468,-86.1442253
IU HEALTH WEST HOSPITAL,1482.496494,39.779959,-86.3401688
ORTHOINDY HOSPITAL,3534.129035,39.9080735,-86.2672107
INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,2122.87613,39.9596046,-86.1594079
FRANCISCAN HEALTH INDIANAPOLIS,2153.553264,39.6499115,-86.081429
FRANCISCAN HEALTH MUNSTER,1323.616932,41.5382242,-87.5123163
PINNACLE HOSPITAL,3586.810715,41.4480971,-87.3285546
ORTHOPAEDIC HOSPITAL AT PARKVIEW NORTH LLC,7103.159838,41.1876997,-85.1015863
THE ORTHOPAEDIC HOSPITAL OF LUTHERAN HEALTH NETWOR,3436.007742,41.0400016,-85.2498157
COMMUNITY HOSPITAL NORTH,1628.230811,39.900941,-86.04093
PHYSICIANS' MEDICAL CENTER LLC,1585.541669,38.339927,-85.8282258
INDIANA UNIVERSITY HEALTH ARNETT HOSPITAL,1560.713427,40.4028551,-86.8088283
THE HEART HOSPITAL AT DEACONESS GATEWAY LLC,2415.684809,37.974807,-87.44457
KENTUCKIANA MEDICAL CENTER LLC,1114.596325,38.3331853,-85.7524047
UNITY MEDICAL AND SURGICAL HOSPITAL,8891.313423,41.7012451,-86.1781163
FAIRBANKS,1493.375474,39.9033412,-86.0407707
ST VINCENT FISHERS HOSPITAL INC,1106.115549,39.9895099,-85.9168133
FRANCISCAN HEALTH CARMEL,5568.487261,39.9679498,-86.1587928
MONROE HOSPITAL,1084.260751,39.1207087,-86.5719324
UNITYPOINT HEALTH-MARSHALLTOWN,1084.329249,42.04851,-92.906614
ST ANTHONY REGIONAL HOSPITAL & NURSING HOME,1466.093988,42.0564248,-94.8660363
KEOKUK AREA HOSPITAL,1078.847357,40.4069589,-91.3881705
TRINITY MUSCATINE,1221.283908,41.4332299,-91.0544985
TRINITY REGIONAL MEDICAL CENTER,1203.918288,42.4924492,-94.1933805
IOWA LUTHERAN HOSPITAL,1488.685151,41.6021918,-93.6097994
CHI HEALTH MERCY COUNCIL BLUFFS,2121.185448,41.2687021,-95.8393612
MERCY HOSPITAL,1334.284686,41.6641482,-91.5285792
MARY GREELEY MEDICAL CENTER,1635.089999,42.0328049,-93.6118077
SKIFF MEDICAL CENTER,1060.123737,41.7034206,-93.0509917
GENESIS MEDICAL CENTER-DAVENPORT,1225.654006,41.5416972,-90.5565222
SARTORI MEMORIAL HOSPITAL,1146.919373,42.5336466,-92.4580897
ST LUKES HOSPITAL,1598.272509,41.9853036,-91.6604322
METHODIST JENNIE EDMUNDSON,1359.313714,41.2685464,-95.8347527
